address,amenities,attraction,num_avg,num_bad,num_excellent,num_good,num_poor,page_link,rating,restaurant,title,total_reviews,walking_grade
"1590 106 Street, New York City, NY 10029",,36,0,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d5483188-Reviews-The_Rivieria_New_York-New_York_City_New_York.html,5.0,224,The Rivieria New York,1 review,100
"215 E 81st St, New York City, NY 10028-2625","Wifi,Internet,Laundry service,Kitchenette",29,0,1,2,0,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1164614-Reviews-Third_Ave_House-New_York_City_New_York.html,3.5,271,Third Ave House,4 reviews,100
"502 Park Ave, New York City, NY 10022-1108","Fitness Center with Gym / Workout Room,Bar / lounge,Restaurant,Laundry service,Room service",88,1,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1165409-Reviews-Trump_Park_Avenue-New_York_City_New_York.html,4.0,297,Trump Park Avenue,2 reviews,100
"32 Beekman Pl, New York City, NY 10022-8034","Free internet,Restaurant",16,5,3,1,5,3,https://www.tripadvisor.com/Hotel_Review-g60763-d651216-Reviews-Beekman_Apartments-New_York_City_New_York.html,3.0,145,Beekman Apartments,17 reviews,100
"35 Orchard St, New York City, NY 10002-6111","Free parking,Free High Speed Internet (WiFi),Free internet,Wifi,Internet,Restaurant,Kitchenette",46,0,0,1,2,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1783732-Reviews-Orchard_Guesthouse-New_York_City_New_York.html,4.5,301,Orchard Guesthouse,3 reviews,100
"West 47th & 9th Ave, New York City, NY 10036",,180,0,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d9809501-Reviews-My_City_House-New_York_City_New_York.html,5.0,549,My City House,1 review,100
"540 Park Avenue & 61st Street, New York City, NY 10065-7366",,77,0,0,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d19690290-Reviews-Loews_Regency_New_York-New_York_City_New_York.html,4.0,213,Loews Regency New York,1 review,100
"266 3rd Ave, New York City, NY 10010-7445",,55,1,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d247982-Reviews-Oxbridge_Apts_Gramecy_Park-New_York_City_New_York.html,3.0,331,Oxbridge Apts Gramecy Park,1 review,100
"220 E 63rd St, New York City, NY 10065-7660","Free High Speed Internet (WiFi),Free internet,Fitness Center with Gym / Workout Room,Concierge,Non-smoking hotel,Dry cleaning,Laundry service,Self-serve laundry,Wifi,Internet,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites,Family rooms",33,0,0,2,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1484261-Reviews-Oakwood_at_the_Blake-New_York_City_New_York.html,5.0,229,Oakwood at the Blake,2 reviews,100
"44 E End Ave, New York City, NY 10028-7977",Kitchenette,2,5,2,4,7,5,https://www.tripadvisor.com/Hotel_Review-g60763-d2410178-Reviews-East_River_by_Central_Park_Suites-New_York_City_New_York.html,3.5,55,East River by Central Park Suites,23 reviews,88
"247 W 35th St Fl 4, New York City, NY 10001-1908",,102,1,1,2,0,1,https://www.tripadvisor.com/Hotel_Review-g60763-d254281-Reviews-A_Hospitality_Company_Inc-New_York_City_New_York.html,3.0,509,"A Hospitality Company, Inc.",5 reviews,100
